package,kind,symbol,source,status,destination_or_reason
root,func,AddModifier,gjson.go,compatible,goforge.dev/gpgjson
root,func,AppendJSONString,gjson.go,compatible,goforge.dev/gpgjson
root,var,DisableEscapeHTML,gjson.go,compatible,goforge.dev/gpgjson
root,var,DisableModifiers,gjson.go,compatible,goforge.dev/gpgjson
root,func,Escape,gjson.go,compatible,goforge.dev/gpgjson
root,const,False,gjson.go,compatible,goforge.dev/gpgjson
root,func,ForEachLine,gjson.go,compatible,goforge.dev/gpgjson
root,func,Get,gjson.go,compatible,goforge.dev/gpgjson
root,func,GetBytes,gjson.go,compatible,goforge.dev/gpgjson
root,func,GetMany,gjson.go,compatible,goforge.dev/gpgjson
root,func,GetManyBytes,gjson.go,compatible,goforge.dev/gpgjson
root,const,JSON,gjson.go,compatible,goforge.dev/gpgjson
root,func,ModifierExists,gjson.go,compatible,goforge.dev/gpgjson
root,const,Null,gjson.go,compatible,goforge.dev/gpgjson
root,const,Number,gjson.go,compatible,goforge.dev/gpgjson
root,func,Parse,gjson.go,compatible,goforge.dev/gpgjson
root,func,ParseBytes,gjson.go,compatible,goforge.dev/gpgjson
root,type,Result,gjson.go,compatible,goforge.dev/gpgjson
root,method,Result.All,gjson.go,compatible,goforge.dev/gpgjson
root,method,Result.Array,gjson.go,compatible,goforge.dev/gpgjson
root,method,Result.Bool,gjson.go,compatible,goforge.dev/gpgjson
root,method,Result.Exists,gjson.go,compatible,goforge.dev/gpgjson
root,method,Result.Float,gjson.go,compatible,goforge.dev/gpgjson
root,method,Result.ForEach,gjson.go,compatible,goforge.dev/gpgjson
root,method,Result.Get,gjson.go,compatible,goforge.dev/gpgjson
root,method,Result.Int,gjson.go,compatible,goforge.dev/gpgjson
root,method,Result.IsArray,gjson.go,compatible,goforge.dev/gpgjson
root,method,Result.IsBool,gjson.go,compatible,goforge.dev/gpgjson
root,method,Result.IsObject,gjson.go,compatible,goforge.dev/gpgjson
root,method,Result.Keys,gjson.go,compatible,goforge.dev/gpgjson
root,method,Result.Less,gjson.go,compatible,goforge.dev/gpgjson
root,method,Result.Map,gjson.go,compatible,goforge.dev/gpgjson
root,method,Result.Path,gjson.go,compatible,goforge.dev/gpgjson
root,method,Result.Paths,gjson.go,compatible,goforge.dev/gpgjson
root,method,Result.String,gjson.go,compatible,goforge.dev/gpgjson
root,method,Result.Time,gjson.go,compatible,goforge.dev/gpgjson
root,method,Result.Uint,gjson.go,compatible,goforge.dev/gpgjson
root,method,Result.Value,gjson.go,compatible,goforge.dev/gpgjson
root,method,Result.Values,gjson.go,compatible,goforge.dev/gpgjson
root,const,String,gjson.go,compatible,goforge.dev/gpgjson
root,const,True,gjson.go,compatible,goforge.dev/gpgjson
root,type,Type,gjson.go,compatible,goforge.dev/gpgjson
root,method,Type.String,gjson.go,compatible,goforge.dev/gpgjson
root,func,Valid,gjson.go,compatible,goforge.dev/gpgjson
root,func,ValidBytes,gjson.go,compatible,goforge.dev/gpgjson
